id,x_tol_m,x_dot_tol_mps,theta_tol_rad,theta_dot_tol_rps,q_theta_over_x,q_theta_dot_over_x_dot,r_scale,q,r,survival_s,max_cart_m,max_theta_deg,avg_abs_u,score,success
47,0.5,1.0,0.25,0.5,4.0,4.0,1.5,"[4.0, 1.0, 16.0, 4.0]",0.15000000000000002,400.0,2.117520332336426,44.50395965576172,24.851205825805664,397.3056335449219,True
48,0.5,1.0,0.25,0.5,4.0,4.0,1.8,"[4.0, 1.0, 16.0, 4.0]",0.18000000000000002,67.70999908447266,2.2355031967163086,46.58897399902344,25.03873634338379,64.90930938720703,False
49,0.5,1.0,0.25,0.7,4.0,2.0408163265306127,0.5,"[4.0, 1.0, 16.0, 2.0408163265306127]",0.05,400.0,1.5166281461715698,34.269588470458984,24.353004455566406,397.8257141113281,True
50,0.5,1.0,0.25,0.7,4.0,2.0408163265306127,0.7,"[4.0, 1.0, 16.0, 2.0408163265306127]",0.06999999999999999,400.0,1.6987438201904297,37.962921142578125,24.255809783935547,397.6637268066406,True
51,0.5,1.0,0.25,0.7,4.0,2.0408163265306127,0.9,"[4.0, 1.0, 16.0, 2.0408163265306127]",0.09000000000000001,400.0,1.8481522798538208,40.662322998046875,24.53074073791504,397.5267639160156,True
52,0.5,1.0,0.25,0.7,4.0,2.0408163265306127,1.1,"[4.0, 1.0, 16.0, 2.0408163265306127]",0.11000000000000001,400.0,1.9719889163970947,42.63947677612305,24.755491256713867,397.4185485839844,True
53,0.5,1.0,0.25,0.7,4.0,2.0408163265306127,1.3,"[4.0, 1.0, 16.0, 2.0408163265306127]",0.13,400.0,2.0837526321411133,44.342655181884766,24.940122604370117,397.3230895996094,True
54,0.5,1.0,0.25,0.7,4.0,2.0408163265306127,1.5,"[4.0, 1.0, 16.0, 2.0408163265306127]",0.15000000000000002,115.12000274658203,2.1775612831115723,45.911434173583984,25.0927791595459,112.3602066040039,False
55,0.5,1.0,0.25,0.7,4.0,2.0408163265306127,1.8,"[4.0, 1.0, 16.0, 2.0408163265306127]",0.18000000000000002,45.18000030517578,2.2951407432556152,47.81987380981445,25.27454948425293,42.31779479980469,False
56,0.5,1.0,0.25,1.0,4.0,1.0,0.5,"[4.0, 1.0, 16.0, 1.0]",0.05,400.0,1.5670071840286255,35.48305130004883,24.653902053833008,397.7672119140625,True
